"Timestamp","Actual_ZMPX","Actual_ZMPY","Trajectory_ZMPX","Trajectory_ZMPY","Reference_ZMPX","Reference_ZMPY","MultiBody_ZMPX","MultiBody_ZMPY","LinearMomentumX","LinearMomentumY","LinearMomentumZ","AngularMomentumX","AngularMomentumY","AngularMomentumZ"
0.152,-44.8201,-108.818,85.1829,-21.878,85.1829,-21.878,-77.4135,-141.898,-9.46683,0.477089,1.79211,-0.753224,-10.4957,-0.31832
0.153,-40.8783,-110.96,85.1964,-21.8893,85.1964,-21.8893,-77.2598,-140.618,-9.36622,0.548869,1.7388,-0.82839,-10.3876,-0.311538
0.154,-37.2565,-113.412,85.2096,-21.9006,85.2096,-21.9006,-77.1144,-139.907,-9.26869,0.622658,1.68717,-0.903334,-10.2796,-0.30435
0.155,-33.9915,-116.051,85.2226,-21.9118,85.2226,-21.9118,-76.9835,-139.684,-9.17393,0.69861,1.63733,-0.978388,-10.1716,-0.296709
0.156,-31.1329,-118.764,85.2352,-21.9229,85.2352,-21.9229,-76.8852,-139.861,-9.08161,0.776786,1.58934,-1.05383,-10.0636,-0.288591
0.157,-28.7043,-121.446,85.2474,-21.9336,85.2474,-21.9336,-76.8027,-140.352,-8.99139,0.857162,1.54325,-1.12986,-9.95562,-0.279989
0.158,-26.7001,-124.007,85.2592,-21.9441,85.2592,-21.9441,-76.7523,-141.08,-8.90289,0.939638,1.49908,-1.20665,-9.84761,-0.270915
0.159,-25.1443,-126.368,85.2707,-21.9542,85.2707,-21.9542,-76.7114,-141.967,-8.81578,1.02405,1.45681,-1.28431,-9.73956,-0.261394
0.16,-24.0096,-128.466,85.2818,-21.9639,85.2818,-21.9639,-76.6818,-142.947,-8.7297,1.11019,1.4164,-1.3629,-9.63148,-0.251465
0.161,-23.2811,-130.253,85.2925,-21.9731,85.2925,-21.9731,-76.6711,-143.964,-8.64431,1.19781,1.37778,-1.44242,-9.52335,-0.241177
0.162,-22.8418,-131.713,85.2952,-21.9754,85.2952,-21.9754,-76.5454,-144.983,-8.55931,1.28662,1.34084,-1.52287,-9.4152,-0.230584
0.163,-22.8526,-132.833,85.3055,-21.9841,85.3055,-21.9841,-76.5141,-145.936,-8.47439,1.37635,1.3055,-1.60421,-9.30703,-0.21974
0.164,-23.161,-133.6,85.3154,-21.9923,85.3154,-21.9923,-76.4363,-146.818,-8.38932,1.46673,1.27166,-1.68636,-9.19888,-0.208772
0.165,-23.7121,-134.035,85.3249,-22.0002,85.3249,-22.0002,-76.3953,-147.566,-8.30391,1.55748,1.23911,-1.76922,-9.09074,-0.197558
0.166,-24.553,-134.104,85.3342,-22.0075,85.3342,-22.0075,-76.2724,-148.246,-8.21789,1.6483,1.20779,-1.85274,-8.98268,-0.186335
0.167,-25.5013,-133.869,85.3432,-22.0145,85.3432,-22.0145,-76.1167,-148.788,-8.1312,1.73895,1.17748,-1.93679,-8.87472,-0.175113
