"Timestamp","Pelvis_Yaw_Delta","Pelvis_Yaw_Error","Pelvis_Pitch_Delta","Pelvis_Pitch_Error","Chest_Roll_Delta","Chest_Roll_Error","Chest_Pitch_Delta","Chest_Pitch_Error","LeftFoot_Roll_Delta","LeftFoot_Roll_Error","LeftFoot_Pitch_Delta","LeftFoot_Pitch_Error","RightFoot_Roll_Delta","RightFoot_Roll_Error","Pelvis_Roll_Delta","Pelvis_Roll_Error","RightFoot_Pitch_Delta","RightFoot_Pitch_Error","Chest_Yaw_Delta","Chest_Yaw_Error","LeftFoot_Yaw_Delta","LeftFoot_Yaw_Error","RightFoot_Yaw_Delta","RightFoot_Yaw_Error"
12.128,3.00586e-05,0.000136677,4.62086e-05,0.00159536,-0.000143448,-0.00175893,-5.62049e-05,-0.000731177,1.96023e-05,0.000168708,9.63989e-05,-0.00142525,0.000133732,0.000120431,-0.000175672,-0.000399188,0.000118297,-0.00168023,-2.37201e-05,0.000200987,-5.46961e-06,-4.10491e-05,-1.00787e-05,4.1593e-05
12.129,3.00586e-05,0.000136677,4.62086e-05,0.00159536,-0.000143448,-0.00175893,-5.62049e-05,-0.000731177,1.96023e-05,0.000168708,9.63989e-05,-0.00142525,0.000133732,0.000120431,-0.000175672,-0.000399188,0.000118297,-0.00168023,-2.37201e-05,0.000200987,-5.46961e-06,-4.10491e-05,-1.00787e-05,4.1593e-05
12.13,1.74508e-05,-8.08239e-05,0.000231271,0.0015113,-0.000296629,-0.00132108,-7.42966e-05,-0.000182203,0.000110405,0.000919556,-2.6001e-05,-0.0017878,0.00021217,0.000863043,-0.000220072,-0.000472316,8.80085e-06,-0.0015833,-2.2116e-05,-2.98023e-06,-5.87059e-06,-1.34893e-05,-8.74529e-06,1.65887e-05
12.131,1.74508e-05,-8.08239e-05,0.000231271,0.0015113,-0.000296629,-0.00132108,-7.42966e-05,-0.000182203,0.000110405,0.000919556,-2.6001e-05,-0.0017878,0.00021217,0.000863043,-0.000220072,-0.000472316,8.80085e-06,-0.0015833,-2.2116e-05,-2.98023e-06,-5.87059e-06,-1.34893e-05,-8.74529e-06,1.65887e-05
12.132,1.74508e-05,-8.08239e-05,0.000231271,0.0015113,-0.000296629,-0.00132108,-7.42966e-05,-0.000182203,0.000110405,0.000919556,-2.6001e-05,-0.0017878,0.00021217,0.000863043,-0.000220072,-0.000472316,8.80085e-06,-0.0015833,-2.2116e-05,-2.98023e-06,-5.87059e-06,-1.34893e-05,-8.74529e-06,1.65887e-05
12.133,1.74508e-05,-8.08239e-05,0.000231271,0.0015113,-0.000296629,-0.00132108,-7.42966e-05,-0.000182203,0.000110405,0.000919556,-2.6001e-05,-0.0017878,0.00021217,0.000863043,-0.000220072,-0.000472316,8.80085e-06,-0.0015833,-2.2116e-05,-2.98023e-06,-5.87059e-06,-1.34893e-05,-8.74529e-06,1.65887e-05
12.134,1.74508e-05,-8.08239e-05,0.000231271,0.0015113,-0.000296629,-0.00132108,-7.42966e-05,-0.000182203,0.000110405,0.000919556,-2.6001e-05,-0.0017878,0.00021217,0.000863043,-0.000220072,-0.000472316,8.80085e-06,-0.0015833,-2.2116e-05,-2.98023e-06,-5.87059e-06,-1.34893e-05,-8.74529e-06,1.65887e-05
12.135,1.74508e-05,-8.08239e-05,0.000231271,0.0015113,-0.000296629,-0.00132108,-7.42966e-05,-0.000182203,0.000110405,0.000919556,-2.6001e-05,-0.0017878,0.00021217,0.000863043,-0.000220072,-0.000472316,8.80085e-06,-0.0015833,-2.2116e-05,-2.98023e-06,-5.87059e-06,-1.34893e-05,-8.74529e-06,1.65887e-05
12.136,1.74508e-05,-8.08239e-05,0.000231271,0.0015113,-0.000296629,-0.00132108,-7.42966e-05,-0.000182203,0.000110405,0.000919556,-2.6001e-05,-0.0017878,0.00021217,0.000863043,-0.000220072,-0.000472316,8.80085e-06,-0.0015833,-2.2116e-05,-2.98023e-06,-5.87059e-06,-1.34893e-05,-8.74529e-06,1.65887e-05
12.137,1.74508e-05,-8.08239e-05,0.000231271,0.0015113,-0.000296629,-0.00132108,-7.42966e-05,-0.000182203,0.000110405,0.000919556,-2.6001e-05,-0.0017878,0.00021217,0.000863043,-0.000220072,-0.000472316,8.80085e-06,-0.0015833,-2.2116e-05,-2.98023e-06,-5.87059e-06,-1.34893e-05,-8.74529e-06,1.65887e-05
