"Timestamp","Actual_CPX","Actual_CPY","Target_CPX","Target_CPY","Target_CaptureFootX","Target_CaptureFootY","Target_CaptureFootZ"
9.518,44.817,-3.15494,323.862,-18.541,323.862,-18.541,1.7417e-05
9.519,44.9278,-2.91785,323.862,-18.541,323.862,-18.541,1.7417e-05
9.52,45.0364,-2.70813,323.862,-18.541,323.862,-18.541,1.7417e-05
9.521,45.1373,-2.5329,323.862,-18.541,323.862,-18.541,1.7417e-05
9.522,45.2242,-2.39942,323.862,-18.541,323.862,-18.541,1.7417e-05
9.523,45.2902,-2.31531,323.862,-18.541,323.862,-18.541,1.7417e-05
9.524,45.329,-2.28707,323.862,-18.541,323.862,-18.541,1.7417e-05
9.525,45.3345,-2.31981,323.862,-18.541,323.862,-18.541,1.7417e-05
9.526,45.1697,-2.37906,323.862,-18.541,323.862,-18.541,1.7417e-05
9.527,44.9088,-2.39167,323.862,-18.541,323.862,-18.541,1.7417e-05
9.528,44.6092,-2.36644,323.862,-18.541,323.862,-18.541,1.7417e-05
9.529,44.3074,-2.31396,323.862,-18.541,323.862,-18.541,1.7417e-05
9.53,44.0311,-2.24604,323.862,-18.541,323.862,-18.541,1.7417e-05
9.531,43.8049,-2.17534,323.862,-18.541,323.862,-18.541,1.7417e-05
9.532,43.6521,-2.11447,323.862,-18.541,323.862,-18.541,1.7417e-05
9.533,43.5956,-2.07506,323.862,-18.541,323.862,-18.541,1.7417e-05
9.534,43.6581,-2.0672,323.862,-18.541,323.862,-18.541,1.7417e-05
9.535,43.8619,-2.09925,323.862,-18.541,323.862,-18.541,1.7417e-05
9.536,44.1037,-2.17606,323.862,-18.541,323.862,-18.541,1.7417e-05
9.537,44.368,-2.2713,323.862,-18.541,323.862,-18.541,1.7417e-05
9.538,44.6499,-2.38162,323.862,-18.541,323.862,-18.541,1.7417e-05
9.539,44.94,-2.50363,323.862,-18.541,323.862,-18.541,1.7417e-05
9.54,45.2259,-2.63496,323.862,-18.541,323.862,-18.541,1.7417e-05
9.541,45.4934,-2.77425,323.862,-18.541,323.862,-18.541,1.7417e-05
9.542,45.7275,-2.92051,323.862,-18.541,323.862,-18.541,1.7417e-05
9.543,45.9129,-3.0733,323.862,-18.541,323.862,-18.541,1.7417e-05
9.544,46.034,-3.23178,323.862,-18.541,323.862,-18.541,1.7417e-05
9.545,46.0758,-3.39471,323.862,-18.541,323.862,-18.541,1.7417e-05
9.546,46.1532,-3.5231,323.862,-18.541,323.862,-18.541,1.7417e-05
9.547,46.2326,-3.66463,323.862,-18.541,323.862,-18.541,1.7417e-05
9.548,46.3053,-3.81026,323.862,-18.541,323.862,-18.541,1.7417e-05
9.549,46.3665,-3.9514,323.862,-18.541,323.862,-18.541,1.7417e-05
9.55,46.4177,-4.08436,323.862,-18.541,323.862,-18.541,1.7417e-05
9.551,46.4561,-4.20241,323.862,-18.541,323.862,-18.541,1.7417e-05
9.552,46.4825,-4.30114,323.862,-18.541,323.862,-18.541,1.7417e-05
9.553,46.4983,-4.37655,323.862,-18.541,323.862,-18.541,1.7417e-05
9.554,46.505,-4.4249,323.862,-18.541,323.862,-18.541,1.7417e-05
9.555,46.5042,-4.44264,323.862,-18.541,323.862,-18.541,1.7417e-05
9.556,46.423,-4.55446,323.862,-18.541,323.862,-18.541,1.7417e-05
9.557,46.2927,-4.69353,323.862,-18.541,323.862,-18.541,1.7417e-05
9.558,46.1389,-4.83677,323.862,-18.541,323.862,-18.541,1.7417e-05
9.559,45.982,-4.96486,323.862,-18.541,323.862,-18.541,1.7417e-05
9.56,45.8354,-5.06235,323.862,-18.541,323.862,-18.541,1.7417e-05
9.561,45.7106,-5.11658,323.862,-18.541,323.862,-18.541,1.7417e-05
9.562,45.6183,-5.11774,323.862,-18.541,323.862,-18.541,1.7417e-05
9.563,45.5691,-5.05885,323.862,-18.541,323.862,-18.541,1.7417e-05
9.564,45.573,-4.93551,323.862,-18.541,323.862,-18.541,1.7417e-05
9.565,45.6399,-4.7454,323.862,-18.541,323.862,-18.541,1.7417e-05
9.566,45.6173,-4.61923,323.862,-18.541,323.862,-18.541,1.7417e-05
9.567,45.5493,-4.48538,323.862,-18.541,323.862,-18.541,1.7417e-05
9.568,45.4693,-4.35916,323.862,-18.541,323.862,-18.541,1.7417e-05
9.569,45.3948,-4.25368,323.862,-18.541,323.862,-18.541,1.7417e-05
9.57,45.3368,-4.17751,323.862,-18.541,323.862,-18.541,1.7417e-05
9.571,45.3036,-4.13477,323.862,-18.541,323.862,-18.541,1.7417e-05
9.572,45.3029,-4.12595,323.862,-18.541,323.862,-18.541,1.7417e-05
9.573,45.3423,-4.14888,323.862,-18.541,323.862,-18.541,1.7417e-05
9.574,45.4292,-4.19977,323.862,-18.541,323.862,-18.541,1.7417e-05
9.575,45.5711,-4.27377,323.862,-18.541,323.862,-18.541,1.7417e-05
9.576,45.7673,-4.25788,323.862,-18.541,323.862,-18.541,1.7417e-05
9.577,45.9912,-4.20242,323.862,-18.541,323.862,-18.541,1.7417e-05
9.578,46.2299,-4.13826,323.862,-18.541,323.862,-18.541,1.7417e-05
9.579,46.4718,-4.0903,323.862,-18.541,323.862,-18.541,1.7417e-05
