"Timestamp","Trajectory_LeftLeg_Joint6","Trajectory_LeftLeg_Joint5","Trajectory_LeftLeg_Joint4","Trajectory_LeftLeg_Joint3","Trajectory_LeftLeg_Joint2","Trajectory_LeftLeg_Joint1","Trajectory_RightLeg_Joint1","Trajectory_RightLeg_Joint2","Trajectory_RightLeg_Joint3","Trajectory_RightLeg_Joint4","Trajectory_RightLeg_Joint5","Trajectory_RightLeg_Joint6","Trajectory_Torso_Joint1","Trajectory_Torso_Joint2","Trajectory_LeftArm_Joint3","Trajectory_RightArm_Joint3","Actual_LeftFootX","Actual_LeftFootY","Actual_LeftFootZ","Actual_RightFootX","Actual_RightFootY","Actual_RightFootZ","Target_LeftFootX","Target_LeftFootY","Target_LeftFootZ","Target_RightFootX","Target_RightFootY","Target_RightFootZ","Target_CoMX","Target_CoMY","Target_CoMZ","Actual_CoMX","Actual_CoMY","Actual_CoMZ"
0.039,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.879312,-1.48156,0.393241,172.631,-3.36669,0.525297,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.7971,-21.4598,891.124
0.04,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.9414,-1.54065,0.381354,172.661,-3.38064,0.514286,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.7621,-21.4743,891.016
0.041,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.0052,-1.60142,0.369083,172.692,-3.39491,0.502876,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.7261,-21.4893,890.905
0.042,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.0707,-1.66392,0.356432,172.723,-3.4095,0.491083,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.6891,-21.5051,890.791
0.043,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.13787,-1.72817,0.343405,172.755,-3.42443,0.478918,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.6512,-21.5214,890.674
0.044,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.2067,-1.79418,0.330005,172.787,-3.43967,0.466387,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.6123,-21.5384,890.555
0.045,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.27715,-1.86198,0.31623,172.821,-3.45519,0.453489,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.5723,-21.5561,890.433
0.046,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.34925,-1.93155,0.302081,172.855,-3.47094,0.440226,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.5314,-21.5744,890.309
0.047,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.423,-2.00282,0.287553,172.889,-3.48688,0.426598,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.4895,-21.5934,890.182
0.048,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.49843,-2.07569,0.272656,172.924,-3.5032,0.412638,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.4465,-21.6131,890.053
